query_name,parallelism,numOfRecords,tuplesPerSecond
CM1,1,20000000,3622684
CM1,2,20000000,3267117
CM1,4,20000000,3289473
CM1,8,20000000,3362924
CM1,16,20000000,3385433
CM2,1,20000000,924571
CM2,2,20000000,857574
CM2,4,20000000,844100
CM2,8,20000000,911536
CM2,16,20000000,837300
LRB1,1,20000000,44183
LRB1,2,20000000,67478
LRB1,4,20000000,125934
LRB1,8,20000000,202979
LRB1,16,20000000,333418
LRB2,1,20000000,117632
LRB2,2,20000000,219274
LRB2,4,20000000,424529
LRB2,8,20000000,813755
LRB2,16,20000000,1225905
MA,1,20000000,264399
MA,2,20000000,248053
MA,4,20000000,264524
MA,8,20000000,256247
MA,16,20000000,251970
SG1,1,20000000,4778
SG1,2,20000000,5332
SG1,4,20000000,6654
SG1,8,20000000,11973
SG1,16,20000000,22743
SG2,1,20000000,2102
SG2,2,20000000,2144
SG2,4,20000000,4712
SG2,8,20000000,4793
SG2,16,20000000,23568
SG3,1,20000000,41074
SG3,2,20000000,54601
SG3,4,20000000,111124
SG3,8,20000000,219357
SG3,16,20000000,360200
YSB1k,1,5000000,5383868
YSB1k,2,5000000,2164963
YSB1k,4,5000000,2174386
YSB1k,8,5000000,2372849
YSB1k,16,5000000,2092272
YSB10k,1,5000000,5274008
YSB10k,2,5000000,2310549
YSB10k,4,5000000,2399921
YSB10k,8,5000000,2135281
YSB10k,16,5000000,2108627
NM1,1,20000000,9201233
NM1,2,20000000,9380166
NM1,4,20000000,11112875
NM1,8,20000000,9057697
NM1,16,20000000,8788067
NM2,1,20000000,10713418
NM2,2,20000000,11716728
NM2,4,20000000,12014934
NM2,8,20000000,10667689
NM2,16,20000000,9497897
NM5,1,20000000,1742211
NM5,2,20000000,2522820
NM5,4,20000000,3604134
NM5,8,20000000,4653258
NM5,16,20000000,4922838
NM8,1,20000000,993873
NM8,2,20000000,1512832
NM8,4,20000000,1812827
NM8,8,20000000,1790611
NM8,16,20000000,1866305
NM8_Variant,1,20000000,1176597
NM8_Variant,2,20000000,1756145
NM8_Variant,4,20000000,2511073
NM8_Variant,8,20000000,2611255
NM8_Variant,16,20000000,2622749
CM1,24,20000000,3407782
CM2,24,20000000,1078338
LRB1,24,20000000,404768
LRB2,24,20000000,1565504
MA,24,20000000,258844
SG1,24,20000000,29312
SG2,24,20000000,572606
SG3,24,20000000,34169
YSB1k,24,5000000,1964771
YSB10k,24,5000000,2151093
NM1,24,20000000,8569443
NM2,24,20000000,9225203
NM5,24,20000000,4955659
NM8,24,20000000,1537475
NM8_Variant,24,20000000,2536393
