query_name,parallelism,tuplesPerSecond
SG1,1,96029136.0
SG1,4,175075218.6
SG1,8,162800325.8
SG1,16,189913866.2
SG1,24,191409807.2
SG1,24,206811136.2
SG2,1,6584169.6
SG2,4,9083781.0
SG2,8,11022786.4
SG2,16,10944471.0
SG2,24,10910815.4
SG3,1,5638157.4
SG3,4,6020587.4
SG3,8,7752690.2
SG3,16,7702473.2
SG3,24,7237645.4
LRB1,1,7132828.8
LRB1,4,18237958.6
LRB1,8,26967353.8
LRB1,16,33071486.0
LRB1,24,32206410.8
LRB2,1,2335047.6
LRB2,4,6895534.0
LRB2,8,11218097.2
LRB2,16,17279576.6
LRB2,24,16528807.0
MA,1,0.0
MA,24,0.0
NM1,1,0.0
NM1,24,0.0
NM2,1,0.0
NM2,24,0.0
NM5,1,0.0
NM5,24,0.0
NM8,1,0.0
NM8,24,0.0
NM8_Variant,1,0.0
NM8_Variant,24,0.0
YSB1k,1,0.0
YSB1k,24,0.0
