bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
6432338.348998865,SG3,331.243963765,224456.9203765095,235116.76050955415,COMPILER,24,80000000,HASH_JOIN,10,SECOND_CHANCE,1024,8192
6591305.908098346,SG3,323.255100083,230004.1050579238,245489.35481727574,COMPILER,24,40000000,HASH_JOIN,10,SECOND_CHANCE,2048,8192
6644190.587795749,SG3,320.682139208,231849.51985048127,255083.73217993078,COMPILER,24,20000000,HASH_JOIN,10,SECOND_CHANCE,4096,8192
6553762.529858916,SG3,325.106874302,228694.0261095015,288216.1874509804,COMPILER,24,10000000,HASH_JOIN,10,SECOND_CHANCE,8192,8192
6826531.205608048,SG3,312.116532808,238212.30913691063,700872.9593023256,COMPILER,24,800000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
5820816.066119157,SG3,366.043734555,203117.80528189457,3923293.612244898,COMPILER,24,80000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
5189919.551873544,SG3,410.540708715,181102.62495701553,3685826.25,COMPILER,24,40000,HASH_JOIN,10,SECOND_CHANCE,2097152,8192
2743409.0689185727,SG3,776.65167588,95731.46148916284,6513346.875,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,5242880,8192
301369723.70742494,SG2,7.06996451,10516318.702142961,10235213.529411765,COMPILER,24,80000000,HASH_JOIN,10,SECOND_CHANCE,1024,8192
381167062.7978147,SG2,5.589867171,13300852.726112122,12971701.346153846,COMPILER,24,40000000,HASH_JOIN,10,SECOND_CHANCE,2048,8192
414979864.5403138,SG2,5.134401529,14480752.932948109,14359521.739130436,COMPILER,24,20000000,HASH_JOIN,10,SECOND_CHANCE,4096,8192
440488510.46682,SG2,4.837068846,15370879.01105305,14859559.318181818,COMPILER,24,10000000,HASH_JOIN,10,SECOND_CHANCE,8192,8192
462352397.2733846,SG2,4.608331791,16133820.951261448,16985381.05263158,COMPILER,24,800000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
304271813.4129413,SG2,7.002532463,10617587.336131712,19363346.8125,COMPILER,24,80000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
244120700.88188156,SG2,8.727949917,8518609.83473148,20160222.818181816,COMPILER,24,40000,HASH_JOIN,10,SECOND_CHANCE,2097152,8192
115212315.11782682,SG2,18.493450538,4020342.220464861,27084728.2,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,5242880,8192
901780582.5016836,YSB1k,4.117779206,4856986.982414715,4748263.157894737,COMPILER,24,80000000,HASH_JOIN,10,SECOND_CHANCE,1024,8192
1756508320.6312437,YSB1k,2.114042551,9460547.513832895,8505498.333333334,COMPILER,24,40000000,HASH_JOIN,10,SECOND_CHANCE,2048,8192
3591773600.2877855,YSB1k,1.033843929,19345279.72645279,14322666.666666666,COMPILER,24,20000000,HASH_JOIN,10,SECOND_CHANCE,4096,8192
7224363490.272079,YSB1k,0.514001453,38910395.84279152,15793000.0,COMPILER,24,10000000,HASH_JOIN,10,SECOND_CHANCE,8192,8192
24964926223.83598,YSB1k,0.148742011,134461003.08540267,-1,COMPILER,24,800000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
26294279417.27449,YSB1k,0.141222099,141620894.6165005,-1,COMPILER,24,80000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
