bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
216838971.36759162,CM1,7.045606089,2646905.9956553583,2703787.878787879,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
443960516.82575995,CM1,3.441211367,5419329.12893345,5743773.333333333,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
256729969.7190017,CM1,5.950851701,3133846.705819631,3183925.925925926,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
654975616.4125055,CM1,2.332547867,7995144.392893181,8602900.0,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
255463995.5490021,CM1,5.980341667,3118393.2354412084,3228814.814814815,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
648139047.6554313,CM1,2.357151575,7911691.890242569,9240111.111111112,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
232812812.30592927,CM1,6.562190293,2841895.1854982423,2957485.3448275863,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
558501901.39353,CM1,2.735464236,6817510.810256487,8475400.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
205059661.63109505,CM1,7.450329162,2503118.532684234,2682378.625,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
503558456.4766175,CM1,3.033931726,6146828.170252635,7606272.7272727275,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
427416305.75837946,CM2,3.574412011,5217377.555415785,5663133.333333333,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
527948367.92454505,CM2,2.893771569,6444550.495892995,6696263.076923077,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
670780191.9511942,CM2,2.277589582,8188067.396946848,8555222.222222222,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
955976150.6860651,CM2,1.59811725,11669392.217623582,12747736.666666666,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
692561341.2002565,CM2,2.205959077,8453945.131820774,8583444.444444444,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
1136554362.2876015,CM2,1.34420493,13873671.03318093,15169727.0,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
680060248.8906362,CM2,2.246509746,8301347.02651764,8761333.333333334,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
1097415031.3777285,CM2,1.392146028,13395905.763414642,14900800.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
587600799.4826686,CM2,2.599999827,7172714.708030633,8513800.0,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
975597158.594705,CM2,1.565976247,11908901.578632949,17699000.0,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
132550017.53572711,LRB1,43.407624065,4774046.13737179,4762841.860465116,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
3835139453.783705,LRB1,1.500253485,138129990.74619713,126965200.0,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
114689148.00738975,LRB1,50.167617695,4130752.2565627783,4126096.7741935486,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
9604938791.516392,LRB1,0.599033628,345940512.0408365,212298000.0,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
102008141.71718621,LRB1,56.404138279,3674021.2034611376,3762804.705882353,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
11032373253.228985,LRB1,0.521527073,397352334.57381797,92731000.0,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
90471751.89717078,LRB1,63.596439887,3258515.7340287017,3228355.8092105263,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
10706520376.732742,LRB1,0.537399746,385616110.8047863,212101000.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
86442105.57479496,LRB1,66.561096502,3113380.200907196,3155792.9391304348,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
9827567051.956642,LRB1,0.585463452,353958900.9221364,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
83944380.98111495,LRB2,68.541589845,3023419.802030126,3017509.780058651,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
197099352.56366658,LRB2,29.191781993,7098915.717090941,7099412.587412587,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
105072572.02511913,LRB2,54.759117628,3784392.6085112267,3782029.5202952027,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
742627009.2873294,LRB2,7.747740466,26747153.04538184,26272621.62162162,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
90342409.29480919,LRB2,63.68749047,3253857.209173844,3518135.082987552,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
1317344326.5476122,LRB2,4.367636627,47446712.649797544,45796950.0,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
82098037.19261944,LRB2,70.083055914,2956920.14706515,2900671.396103896,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
1979267653.2565732,LRB2,2.906974871,71287165.93573883,70700833.33333333,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
84481887.54624431,LRB2,68.105501642,3042779.1441771467,3089997.474137931,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
2220176175.3191605,LRB2,2.591542687,79963953.91807799,75460181.81818181,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
224820796.6063808,MA,6.364404306,3518084.7921448816,3494333.3333333335,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
708767578.125802,MA,2.018786539,11091075.538422737,10600875.0,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
224386044.28587067,MA,6.376735463,3511281.6157918763,3442100.0,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
1045548053.8649851,MA,1.368517153,16361149.694701707,16197500.0,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
205070735.6702455,MA,6.977350724,3209028.02305513,3193787.878787879,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
1126591019.177285,MA,1.270070879,17629342.08650571,14800500.0,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
195518842.32260022,MA,7.318222781,3059556.216043541,3291851.6666666665,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
921378154.6236974,MA,1.55294592,14418089.974440321,15108200.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
172865819.43432775,MA,8.277231732,2705072.7495567957,2657709.4583333335,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
836580715.7820728,MA,1.710355521,13091146.095116442,12767833.333333334,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
60275588.16918771,SG1,35.348858729,2103321.0879593035,2121630.0578034683,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
199818020.52660966,SG1,10.663068553,6972664.541210514,7178122.448979592,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
93175484.33459844,SG1,22.867316078,3251365.387454894,3308572.727272727,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
158616644.05607662,SG1,13.432847881,5534939.475132734,6451723.981481481,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
93633972.7612891,SG1,22.755343901,3267364.374868122,3496630.2747252746,COMPILER,8,20000,HASH_JOIN,10,NONE,1048576,8192
185371619.78271413,SG1,11.494063943,6468556.323395076,6940458.7,COMPILER,8,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
77831353.49896626,SG1,27.375513276,2715930.8119779564,2763347.1641791044,COMPILER,16,20000,HASH_JOIN,10,NONE,1048576,8192
166607703.295771,SG1,12.788563847,5813788.075776887,7737639.76744186,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
78517586.4719519,SG1,27.136255032,2739876.9621056383,3308343.2280701753,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192
172626633.11085463,SG1,12.342668177,6023819.074918326,7755543.4,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1694053.8223440375,SG3,1257.736456125,59114.1328836625,67000.71958456973,COMPILER,1,20000,HASH_JOIN,10,NONE,1048576,8192
1736333.6515497165,SG3,1227.110497512,1233401.82845333815,1233401.82845333815,COMPILER,1,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
6400354.122955041,SG3,332.899275582,223340.82845333815,841359.0895522388,COMPILER,4,20000,HASH_JOIN,10,NONE,1048576,8192
