bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize,resourceAssignment
86442105.57479496,LRB1,66.561096502,3113380.200907196,3155792.9391304348,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192,WORK_STEALING
9827567051.956642,LRB1,0.585463452,353958900.9221364,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192,WORK_STEALING
70085407.48982905,LRB1,82.095282557,2524261.973958334,2960383.225,COMPILER,24,20000,HASH_JOIN,10,ALWAYS_MISS,1048576,8192,WORK_STEALING
84481887.54624431,LRB2,68.105501642,3042779.1441771467,3089997.474137931,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192,WORK_STEALING
2220176175.3191605,LRB2,2.591542687,79963953.91807799,75460181.81818181,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192,WORK_STEALING
59441368.512956746,LRB2,96.795909565,2140896.2520347177,2906028.136054422,COMPILER,24,20000,HASH_JOIN,10,ALWAYS_MISS,1048576,8192,WORK_STEALING
78517586.4719519,SG1,27.136255032,2739876.9621056383,3308343.2280701753,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192,WORK_STEALING
172626633.11085463,SG1,12.342668177,6023819.074918326,7755543.4,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192,WORK_STEALING
56685633.80673658,SG1,37.587535111,1978049.3661113058,2347334.2083333335,COMPILER,24,20000,HASH_JOIN,10,ALWAYS_MISS,1048576,8192,WORK_STEALING
20053772.744787384,SG3,106.24800022,699777.8767228454,2251236.7608695654,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192,WORK_STEALING
23192871.174012974,SG3,91.867593064,809316.9475791502,7226375.225,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192,WORK_STEALING
5271220.45684189,SG3,404.208715694,183939.62602302106,1432514.7391304348,COMPILER,24,20000,HASH_JOIN,10,ALWAYS_MISS,1048576,8192,WORK_STEALING
1649751119.4863458,YSB1k,2.250844559,8885553.611434435,8180600.0,COMPILER,24,20000,HASH_JOIN,10,NONE,1048576,8192,WORK_STEALING
29374242807.03766,YSB1k,0.126414606,158209566.3850742,-1,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192,WORK_STEALING
1325293980.2442067,YSB1k,2.80189406,7138028.623394848,6828750.0,COMPILER,24,20000,HASH_JOIN,10,ALWAYS_MISS,1048576,8192,WORK_STEALING
259134056.44912332,NM8,6.262369498,2554943.4611148206,2582482.7586206896,COMPILER,24,312000,HASH_JOIN,10,NONE,409600,8192,WORK_STEALING
1294603796.5257595,NM8,1.253505679,12764202.243394861,13150750.0,COMPILER,24,312000,HASH_JOIN,10,SECOND_CHANCE,409600,8192,WORK_STEALING
214689468.26018304,NM8,7.558792819,2116740.1175200804,2142428.5714285714,COMPILER,24,312000,HASH_JOIN,10,ALWAYS_MISS,409600,8192,WORK_STEALING
