bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
42655285688.887825,YSB10k,0.087054471,229741215.70390108,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
42655285688.887825,YSB10k,0.087054471,229741215.70390108,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
24245738986.373215,NM1,0.275451067,667965178.0038303,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
24245738986.373215,NM1,0.275451067,667965178.0038303,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
107822016424.36404,NM2,0.061940176,2970474623.772461,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
107822016424.36404,NM2,0.061940176,2970474623.772461,-1,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2914330607.302648,NM5,4.583223782,80289215.51795177,84035292.68292683,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2914330607.302648,NM5,4.583223782,80289215.51795177,84035292.68292683,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
346822371.2375062,NM8_Variant,21.395294662,9160505.80729319,18314495.865384616,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
346822371.2375062,NM8_Variant,21.395294662,9160505.80729319,18314495.865384616,COMPILER,96,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
208792846.3172917,NM8,7.772264422,2058602.1178989683,2526789.5161290322,COMPILER,96,1225000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
208792846.3172917,NM8,7.772264422,2058602.1178989683,2526789.5161290322,COMPILER,96,1225000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
