query_name,input_rows,output_rows,execution_time_ms,tuplesPerSecond,parallelism
Nexmark_multiple_GB_of_Bids:1,500000,500000,2257,221533,1
Nexmark_multiple_GB_of_Bids:2,500000,500000,1865,268096,1
Nexmark_multiple_GB_of_Bids:3,500000,4081,1871,267236,1
Nexmark_multiple_GB_of_Bids:4,500000,0,394248,1268,1
Nexmark_multiple_GB_of_Bids:5,1000000,57228,275822,3625,1
Nexmark_multiple_GB_of_Bids:6,1000000,21176,267261,3741,1
Nexmark_multiple_GB_of_Bids:1,500000,500000,2248,222419,4
Nexmark_multiple_GB_of_Bids:2,500000,500000,1884,265392,4
Nexmark_multiple_GB_of_Bids:3,500000,4081,1839,271886,4
Nexmark_multiple_GB_of_Bids:4,500000,0,87306,5726,4
Nexmark_multiple_GB_of_Bids:5,1000000,57228,72818,13732,4
Nexmark_multiple_GB_of_Bids:6,1000000,21176,64581,15484,4
Nexmark_multiple_GB_of_Bids:1,500000,500000,2235,223713,8
Nexmark_multiple_GB_of_Bids:2,500000,500000,1938,257997,8
Nexmark_multiple_GB_of_Bids:3,500000,4081,1947,256805,8
Nexmark_multiple_GB_of_Bids:4,500000,0,45976,10875,8
Nexmark_multiple_GB_of_Bids:5,1000000,57724,30878,32385,8
Nexmark_multiple_GB_of_Bids:6,1000000,21618,26521,37705,8
Nexmark_multiple_GB_of_Bids:1,500000,500000,2262,221043,16
Nexmark_multiple_GB_of_Bids:2,500000,500000,1940,257731,16
Nexmark_multiple_GB_of_Bids:3,500000,4081,1844,271149,16
Nexmark_multiple_GB_of_Bids:4,500000,0,35635,14031,16
Nexmark_multiple_GB_of_Bids:5,1000000,57137,34112,29315,16
Nexmark_multiple_GB_of_Bids:6,1000000,21519,24197,41327,16
Nexmark_multiple_GB_of_Bids:1,500000,500000,2354,212404,24
Nexmark_multiple_GB_of_Bids:2,500000,500000,2098,238322,24
Nexmark_multiple_GB_of_Bids:3,500000,4081,2054,243427,24
Nexmark_multiple_GB_of_Bids:4,500000,0,35049,14265,24
Nexmark_multiple_GB_of_Bids:5,1000000,57400,38942,25679,24
Nexmark_multiple_GB_of_Bids:6,1000000,21104,22835,43792,24
LinearRoadBenchmark:1,500000,79807,31246,16002,24
LinearRoadBenchmark:1,50000,14942,59424,841,1
LinearRoadBenchmark:2,50000,1457693,57168,874,1
YahooStreamingBenchmark_more_data:1,50000,13224,48324,1034,1
YahooStreamingBenchmark_more_data:2,50000,16301,50731,985,1
SmartGrid:1,50000,401,52872,945,1
SmartGrid:3,50000,669917,57449,870,1
SmartGrid:2,50000,4939541,71545,698,1
Manufacturing:1,50000,102333,55139,906,1
ClusterMonitoring:1,50000,149476,52880,945,1
ClusterMonitoring:2,16292,3012,443150,36,1
ClusterMonitoring:3,50000,29922,52234,957,1
ClusterMonitoring:4,16292,1213,444591,36,1
LinearRoadBenchmark:1,50000,14942,14427,3465,4
LinearRoadBenchmark:2,50000,1457693,11589,4314,4
YahooStreamingBenchmark_more_data:1,50000,13224,11155,4482,4
YahooStreamingBenchmark_more_data:2,50000,16301,10953,4564,4
SmartGrid:1,50000,401,11679,4281,4
SmartGrid:3,50000,669917,12539,3987,4
SmartGrid:2,50000,4939541,16505,3029,4
Manufacturing:1,50000,102333,12269,4075,4
ClusterMonitoring:1,50000,149476,11290,4428,4
ClusterMonitoring:2,16292,1943,44657,364,4
ClusterMonitoring:3,50000,29922,11901,4201,4
ClusterMonitoring:4,16292,1523,44393,366,4
LinearRoadBenchmark:1,50000,14942,9198,5435,8
LinearRoadBenchmark:2,50000,1457693,5744,8704,8
YahooStreamingBenchmark_more_data:1,50000,13224,4532,11032,8
YahooStreamingBenchmark_more_data:2,50000,16301,4323,11566,8
SmartGrid:1,50000,401,5219,9580,8
SmartGrid:3,50000,669917,6368,7851,8
SmartGrid:2,50000,4939541,9849,5076,8
Manufacturing:1,50000,102333,5424,9218,8
ClusterMonitoring:1,50000,149476,5333,9375,8
ClusterMonitoring:2,16292,1674,10295,1582,8
ClusterMonitoring:3,50000,29922,4909,10185,8
ClusterMonitoring:4,16292,1692,10738,1517,8
LinearRoadBenchmark:1,50000,14942,7986,6260,16
LinearRoadBenchmark:2,50000,1457693,4447,11243,16
YahooStreamingBenchmark_more_data:1,50000,13224,3782,13220,16
YahooStreamingBenchmark_more_data:2,50000,16301,4040,12376,16
SmartGrid:1,50000,399,4111,12162,16
SmartGrid:3,50000,667833,4956,10088,16
SmartGrid:2,50000,4934569,8356,5983,16
Manufacturing:1,50000,108417,5168,9674,16
ClusterMonitoring:1,50000,138832,5072,9858,16
ClusterMonitoring:2,16292,1583,6309,2582,16
ClusterMonitoring:3,50000,29221,3923,12745,16
ClusterMonitoring:4,16292,3064,6110,2666,16
LinearRoadBenchmark:1,50000,14942,8067,6198,24
LinearRoadBenchmark:2,50000,1457693,4403,11355,24
YahooStreamingBenchmark_more_data:1,50000,13224,3960,12626,24
YahooStreamingBenchmark_more_data:2,50000,16301,3890,12853,24
SmartGrid:1,50000,368,4695,10649,24
SmartGrid:3,50000,638596,4639,10778,24
SmartGrid:2,50000,4931998,7892,6335,24
Manufacturing:1,50000,100221,4876,10254,24
ClusterMonitoring:1,50000,128505,4784,10451,24
ClusterMonitoring:2,16292,1494,7039,2314,24
ClusterMonitoring:3,50000,27373,4596,10879,24
ClusterMonitoring:4,16292,3440,4616,3529,24
